"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (excluding high income)","EAP","2005","1.317","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (excluding high income)","EAP","2000","1.327","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (IDA & IBRD)","TEA","2019","2.052","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (IDA & IBRD)","TEA","2015","2.539","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (IDA & IBRD)","TEA","2010","2.085","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (IDA & IBRD)","TEA","2005","1.312","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (IDA & IBRD)","TEA","2000","1.324","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Euro area","EMU","2019","4.761","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Euro area","EMU","2015","4.734","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Euro area","EMU","2010","4.817","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Euro area","EMU","2005","5.244","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Euro area","EMU","2000","5.532","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia","ECS","2019","4.006","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia","ECS","2015","4.127","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia","ECS","2010","4.485","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia","ECS","2005","4.797","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia","ECS","2000","4.877","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (excluding high income)","ECA","2019","2.790","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (excluding high income)","ECA","2015","3.116","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (excluding high income)","ECA","2010","3.801","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (excluding high income)","ECA","2005","3.982","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (excluding high income)","ECA","2000","3.907","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (IDA & IBRD)","TEC","2019","3.211","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (IDA & IBRD)","TEC","2015","3.494","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (IDA & IBRD)","TEC","2010","4.105","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (IDA & IBRD)","TEC","2005","4.275","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Europe & Central Asia (IDA & IBRD)","TEC","2000","4.207","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","European Union","EUU","2019","4.910","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","European Union","EUU","2015","4.886","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","European Union","EUU","2010","4.978","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","European Union","EUU","2005","5.333","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","European Union","EUU","2000","5.549","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Fragile and conflict affected situations","FCS","2019","1.175","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Fragile and conflict affected situations","FCS","2015","1.288","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Fragile and conflict affected situations","FCS","2010","1.482","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Fragile and conflict affected situations","FCS","2005","1.732","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Fragile and conflict affected situations","FCS","2000","1.876","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Heavily indebted poor countries (HIPC)","HPC","2019","1.436","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Heavily indebted poor countries (HIPC)","HPC","2015","1.476","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Heavily indebted poor countries (HIPC)","HPC","2010","1.495","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Heavily indebted poor countries (HIPC)","HPC","2005","1.599","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Heavily indebted poor countries (HIPC)","HPC","2000","1.729","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","High income","HIC","2019","4.180","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","High income","HIC","2015","4.189","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","High income","HIC","2010","4.280","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","High income","HIC","2005","4.518","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","High income","HIC","2000","4.620","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IBRD only","IBD","2019","2.032","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IBRD only","IBD","2015","2.322","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IBRD only","IBD","2010","2.201","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IBRD only","IBD","2005","1.683","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IBRD only","IBD","2000","1.687","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA & IBRD total","IBT","2019","1.797","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA & IBRD total","IBT","2015","2.037","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA & IBRD total","IBT","2010","1.950","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA & IBRD total","IBT","2005","1.570","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA & IBRD total","IBT","2000","1.585","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA blend","IDB","2019","0.863","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA blend","IDB","2015","0.883","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA blend","IDB","2010","0.951","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA blend","IDB","2005","1.308","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA blend","IDB","2000","1.296","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA only","IDX","2019","1.023","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA only","IDX","2015","1.016","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA only","IDX","2010","0.963","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA only","IDX","2005","0.992","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA only","IDX","2000","1.056","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA total","IDA","2019","0.971","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA total","IDA","2015","0.972","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA total","IDA","2010","0.959","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA total","IDA","2005","1.097","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","IDA total","IDA","2000","1.136","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Late-demographic dividend","LTE","2019","2.600","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Late-demographic dividend","LTE","2015","3.104","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Late-demographic dividend","LTE","2010","2.825","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Late-demographic dividend","LTE","2005","2.203","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Late-demographic dividend","LTE","2000","2.214","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean","LCN","2019","2.629","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean","LCN","2015","2.768","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean","LCN","2010","2.891","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean","LCN","2005","2.865","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean","LCN","2000","2.933","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (excluding high income)","LAC","2019","2.683","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (excluding high income)","LAC","2015","2.761","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (excluding high income)","LAC","2010","2.857","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (excluding high income)","LAC","2005","2.821","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (excluding high income)","LAC","2000","2.916","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (IDA & IBRD)","TLA","2019","2.634","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (IDA & IBRD)","TLA","2015","2.778","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (IDA & IBRD)","TLA","2010","2.908","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (IDA & IBRD)","TLA","2005","2.879","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Latin America & Caribbean (IDA & IBRD)","TLA","2000","2.953","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Least developed countries: UN classification","LDC","2019","1.066","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Least developed countries: UN classification","LDC","2015","1.069","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Least developed countries: UN classification","LDC","2010","1.010","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Least developed countries: UN classification","LDC","2005","1.012","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Least developed countries: UN classification","LDC","2000","1.069","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low & middle income","LMY","2019","1.748","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low & middle income","LMY","2015","1.982","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low & middle income","LMY","2010","1.884","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low & middle income","LMY","2005","1.491","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low & middle income","LMY","2000","1.502","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low income","LIC","2019","1.043","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low income","LIC","2015","1.048","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low income","LIC","2010","1.033","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low income","LIC","2005","1.205","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Low income","LIC","2000","1.381","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Lower middle income","LMC","2019","1.385","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Lower middle income","LMC","2015","1.406","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Lower middle income","LMC","2010","1.375","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Lower middle income","LMC","2005","0.998","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Lower middle income","LMC","2000","0.919","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa","MEA","2019","0.131","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa","MEA","2015","0.122","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa","MEA","2010","0.166","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa","MEA","2005","0.114","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa","MEA","2000","0.112","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa (excluding high income)","MNA","2019","0.103","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa (excluding high income)","MNA","2015","0.094","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa (excluding high income)","MNA","2010","0.142","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa (excluding high income)","MNA","2005","0.085","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa (excluding high income)","MNA","2000","0.082","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa (IDA & IBRD)","TMN","2019","0.103","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa (IDA & IBRD)","TMN","2015","0.094","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Middle East & North Africa (IDA & IBRD)","TMN","2010","0.142","female"
